Champion Name,Gender,Primary Role,Secondary Role,Species,Attractive?,Armor?,"""Useful"" Armor?","""Skin""?",Muscular?,Comment
Fiora,F,Fighter,Assassin,Human,Yes,Yes,No,No,Yes,"not 100% sure about the usefulness of her armor.  Those thighs, I'd say she's muscular"
Fizz,M,Assassin,Fighter,Humanoid,No,No,N/A,N/A,No,"He's a fish, so maybe he's a monster too"
Galio,M,Tank,Mage,Monster,No,N/A,N/A,N/A,N/A,
Gangplank,M,Fighter,Support,Human,Yes,No,N/A,No,Yes,
Gnar,M,Fighter,Marksman,Yordle,No,No,N/A,N/A,N/A,"Cute, not attractive"
Gragas,M,Fighter,Mage,Human,No,No,N/A,Yes,Yes,all that skin...
Graves,M,Marksman,,Human,Yes,No,N/A,No,Yes,
Hecarim,M,Fighter,Tank,Monster,No,N/A,N/A,N/A,N/A,
Heimerdinger,M,Mage,Support,Yordle,No,No,N/A,No,No,
Irelia,F,Fighter,Assassin,Human,Yes,Yes,No,Some,No,
Janna,F,Support,Mage,Human,Yes,No,N/A,Yes,No,
Jarvan IV,M,Tank,Fighter,Human,Yes,Yes,Yes,No,Yes,
Jax,M,Fighter,Assassin,Humanoid,No,No,N/A,No,Yes,
Jayce,M,Fighter,Marksman,Human,Yes,Yes,No,No,Yes,
Jinx,F,Marksman,,Human,Yes,No,N/A,Yes,No,"I know women who see her as a great example of diversity, even if she does show skin"
Karma,F,Mage,Support,Human,Yes,No,N/A,Some,No,
Karthus,M,Mage,,Humanoid,No,Yes,No,No,No,
Kassadin,M,Assassin,Mage,Humanoid,No,Yes,Yes,No,Yes,
Katarina,F,Assassin,Mage,Human,Yes,No,N/A,Yes,No,
Kayle,F,Fighter,Support,Humanoid,N/A,Yes,Yes,No,Yes,"Probably attractive, I mean, she's an angel, but you can't tell under all that armor"
Kennen,M,Mage,Marksman,Yordle,No,No,N/A,No,No,
Kha'Zix,M,Assassin,Fighter,Monster,No,N/A,N/A,N/A,N/A,
Kog'Maw,M,Marksman,Mage,Monster,No,N/A,N/A,N/A,N/A,
LeBlanc,F,Assassin,Mage,Human,Yes,No,N/A,Yes,No,
Lee Sin,M,Fighter,Assassin,Human,Yes,No,N/A,Yes,Yes,
Leona,F,Tank,Support,Human,Yes,Yes,Yes,No,No,"updated her armor usability, thought her colored chestplate was a shirt, my bad"
Lissandra,F,Mage,,Humanoid,Yes,No,N/A,No,No,"I'm gonna say those shoulder things and headgear are not armor, not sure though"
Lucian,M,Marksman,,Human,Yes,Yes,No,No,Yes,armor for what?  Because I guess he wasn't cool enough as the only black champ
Lulu,F,Support,Mage,Yordle,No,No,N/A,No,No,
Lux,F,Mage,Support,Human,Yes,Yes,No,No,No,
Malphite,M,Tank,Fighter,Monster,No,N/A,N/A,N/A,N/A,
Malzahar,M,Mage,Assassin,Human,Yes,No,N/A,No,Yes,attractive even with mask?
Maokai,M,Tank,Mage,Monster,No,N/A,N/A,N/A,N/A,
Master Yi,M,Assassin,Fighter,Human,N/A,Yes,No,No,No,"maybe attractive, not sure with helmet, too scrawny too put down as a ""yes"" without the face"
Miss Fortune,F,Marksman,,Human,Yes,No,N/A,Yes,No,
Mordekaiser,M,Fighter,Mage,Humanoid,N/A,Yes,Yes,No,Yes,
Morgana,F,Mage,Support,Humanoid,Yes,No,N/A,Yes,No,"even with that scar thing, she's still attractive"
Nami,F,Support,Mage,Human/Monster,Yes,No,N/A,Yes,No,"is that a shirt opening up or her skin peeling away?  If that's a shirt, what's her skin?  If not... what!?"
Nasus,M,Fighter,Tank,Monster,No,Yes,No,Some,Yes,"short skirt, midrift showing, what a teenybopper "
Nautilus,M,Tank,Fighter,Humanoid,No,Yes,Yes,No,N/A,
Nidalee,F,Assassin,Fighter,Human,Yes,No,N/A,Yes,No,
Nocturne,M,Assassin,Fighter,Monster,No,Yes,Yes,No,Yes,
Nunu,M,Support,Fighter,Yordle,No,No,N/A,No,No,"he's a Yordle, right?"
Olaf,M,Fighter,Tank,Human,Yes,Yes,No,Some,Yes,
Orianna,F,Mage,Support,Humanoid,Yes,N/A,N/A,N/A,N/A,
Pantheon,M,Fighter,Assassin,Human,Yes,Yes,Yes,Some,Yes,"Found some pictures of Spartans with equivalent gear, so I updated the usability"
Poppy,F,Fighter,Assassin,Yordle,No,Yes,Yes,No,No,
Quinn,F,Marksman,Fighter,Human,Yes,Yes,No,No,No,
Rammus,M,Tank,Fighter,Monster,No,N/A,N/A,N/A,No,
Renekton,M,Fighter,Tank,Monster,No,Yes,No,N/A,Yes,
Rengar,M,Assassin,Fighter,Monster,No,Yes,No,N/A,Yes,
Riven,F,Fighter,Assassin,Human,Yes,Yes,No,Some,No,
Rumble,M,Fighter,Mage,Yordle,No,No,N/A,No,No,
Ryze,M,Mage,Fighter,Humanoid,No,No,N/A,Yes,Yes,"attractive for a blue man perhaps, but I'm gonna say no for now.  He's not beefy, but he's muscular"
Sejuani,F,Tank,Fighter,Human,Yes,Yes,Yes,No,Yes,
Shaco,M,Assassin,,Humanoid,No,Yes,No,No,No,
Shen,M,Tank,Fighter,Human,Yes,Yes,No,No,Yes,"he might have an ugly face, but it would have to be pretty bad for him to be unattractive"
Shyvana,F,Fighter,Tank,Humanoid,Yes,Yes,No,Yes,No,"is that skin or scales? not sure.  Appears strong, but not particularly muscular"
Singed,M,Tank,Fighter,Human,No,Yes,No,No,No,
Sion,M,Fighter,Tank,Humanoid,No,Yes,No,Yes,Yes,"that's skin, right?"
Sivir,F,Marksman,,Human,Yes,No,N/A,Some,No,"not sure if shoulder pads are just decoration, but they have giant gems in them, so I'm saying decoration"
Skarner,M,Fighter,Tank,Monster,No,N/A,N/A,N/A,N/A,
Sona,F,Support,Mage,Human,Yes,No,N/A,Some,No,
Soraka,F,Support,Mage,Humanoid,Yes,No,N/A,Some,No,
Swain,M,Mage,Fighter,Human,No,Yes,No,No,No,
Syndra,F,Mage,Support,Human,Yes,Yes,No,Yes,No,
Talon,M,Assassin,Fighter,Human,Yes,Yes,No,No,No,"I'm doubting he has more armor under those clothes. Might be muscular, hard to tell when he's in that cloak"
Taric,M,Support,Fighter,Human,Yes,Yes,Yes,No,Yes,
Teemo,M,Marksman,Assassin,Yordle,No,No,N/A,N/A,No,"fur isn't skin, otherwise it would be ""some"""
Thresh,M,Support,Fighter,Monster,No,Yes,No,N/A,N/A,
Tristana,F,Marksman,Assassin,Yordle,No,Yes,Yes,No,No,
Trundle,M,Fighter,Tank,Monster,No,No,N/A,Yes,Yes,"that's skin, I think"
Tryndamere,M,Fighter,Assassin,Human,Yes,Yes,No,Yes,Yes,
Twisted Fate,M,Mage,,Human,Yes,Yes,No,No,No,looks like armor on his shoulders to me
Twitch,M,Marksman,Assassin,Monster,No,Yes,No,No,Yes,
Udyr,M,Fighter,Tank,Human,Yes,No,N/A,No,Yes,"his outfit is almost short enough to qualify for ""some"" skin, but it's no more than a tshirt and shorts"
Urgot,M,Marksman,Fighter,Humanoid,No,Yes,No,Yes,No,delicious
Varus,M,Marksman,Mage,Human,Yes,No,N/A,Yes,Yes,"saying he's attractive, even with all the makeup"
Vayne,F,Marksman,Assassin,Human,Yes,Yes,No,No,Yes,"it's hard with the women, but I'm saying she's muscular, especially with the emphasis on her legs"
Veigar,M,Mage,,Yordle,No,Yes,No,No,No,
Vel'Koz,M,Mage,,Monster,No,Yes,Yes,N/A,N/A,"Armor might be natural armor, but it looks like armor all the same"
Vi,F,Fighter,Assassin,Human,Yes,Yes,Yes,No,No,"maybe it's because of those giant gloves, but she looks scrawny in them"
Viktor,M,Mage,,Human,N/A,Yes,Yes,No,Yes,"Even if he isn't beautiful under that mask, Viktor could most likely make himself attractive. Just sayin'"
Vladimir,M,Mage,Tank,Humanoid,Yes,No,N/A,No,No,
Volibear,M,Fighter,Tank,Monster,No,Yes,Yes,N/A,Yes,"I'm not sure if his armor is practical, but who knows what armor is practical for a polar bear"
Warwick,M,Fighter,Tank,Monster,No,Yes,No,N/A,Yes,
Wukong,M,Fighter,Tank,Monster,No,Yes,No,N/A,No,
Xerath,M,Mage,Assassin,Monster,No,Yes,Yes,N/A,N/A,"the armor is iffy, hard to tell, but I gave it to him"
Xin Zhao,M,Fighter,Assassin,Human,Yes,Yes,Yes,No,Yes,
Yasuo,M,Fighter,Assassin,Human,Yes,Yes,No,Some,Yes,
Yorick,M,Fighter,Mage,Humanoid,No,No,N/A,No,Yes,
Zac,M,Tank,Fighter,Monster,No,No,N/A,N/A,N/A,
Zed,M,Assassin,Fighter,Humanoid,N/A,Yes,Yes,No,Yes,
Ziggs,M,Mage,,Yordle,No,Yes,No,No,No,
Zilean,M,Support,Mage,Human,No,No,N/A,No,No,
Zyra,F,Mage,Support,Humanoid,Yes,No,N/A,Yes,No,not counting her plant parts as armor
